#Size	Exciton BE(eV)	Trion BE(eV)
2.52	0.231
5.74	0.160
7.34	0.142
8.93	0.129
10.52	0.115
12.12	0.105
13.71	0.097
15.31	0.089
16.90	0.083
18.50	0.078
21.69	0.069
